fda_id,address
3873,"8475 E US HWY 33 A, CHURUBUSCO, IN 46723"
3874,"14040 PARK 57, SOMERVILLE, TX 77879"
3875,"1103 HIGHLAND AVENUE, CARROLLTON, KY 41008"
3876,"528 SOUTH ELY STREET, KENNEWICK, WA 99336"
3877,"5213 CHIPPEWA STREET, SAINT LOUIS, MO 63109"
3878,"6171 OLIVE STREET, COMMERCE CITY, CO 80022-4133"
3879,"1511 HIGHWAY F, PACIFIC, MO 63069"
3880,"4850 UNION DEPOSIT ROAD, HARRISBURG, PA 17111"
3881,"100 LAKE STREET, MAYWOOD, IL 60153"
3882,"5201 SOUTH 3RD ST, LOUISVILLE, KY 40214"
3883,"10 YORK ROAD, WARMINSTER, PA 18974"
3884,"2420 EAST BASELINE ROAD, PHOENIX, AZ 85042"
3885,"805 WEST MADISON AVENUE, ATHENS, TN 37303"
3886,"1080 DELSEA DR, WESTVILLE, NJ 08093"
3887,"3300 WALNUT STREET, HARRISBURG, PA 17109"
3888,"2900 SOUTH WADSWORTH BOULEVARD, DENVER, CO 80231-3413"
3889,"1354 CLARA AVENUE, ST LOUIS, MO 63112"
3890,"3710 N GRAND, ST LOUIS, MO 63107"
3891,"16921 EAST QUINCY AVENUE, AURORA, CO 80015-0000"
3892,"3275 HIGHWAY 371 NORTH, MANTACHIE, MS 38855"
3893,"9950 EAST BROADWAY ROAD, MESA, AZ 85208"
3894,"656 NORTH JEFFERSON AVENUE, LEBANON, MO 65536"
3895,"13131 SOUTHEAST 240TH STREET, KENT, WA 98031"
3896,"3969 CAMERON PARK DRIVE, CAMERON PARK, CA 95682"
3897,"4105 CHOUTEAU AVENUE, ST LOUIS, MO 63110"
3898,"1190 N HWY, MANCHESTER, KY 40962"
3899,"17264 FOOTHILL BOULEVARD, SUITE D, FONTANA, CA 92335"
